ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
9597,9597,0,0
9598,9598,0,0
9599,9599,0,0
9600,9600,0,0
9601,9601,0,0
9602,9602,0,0
9603,9603,0,0
9604,9604,0,0
9606,9606,0,0
9607,9607,0,0
9608,9608,0,0
9609,9609,0,0
9610,9610,0,0
9611,9611,0,0
9612,9612,0,0
9614,9614,0,0
9615,9615,0,0
9616,9616,0,0
9617,9617,0,0
9618,9618,0,0
9619,9619,0,0
9620,9620,0,0
9621,9621,0,0
9622,9622,0,0
9623,9623,0,0
9624,9624,0,0
9625,9625,0,0
9626,9626,0,0
9627,9627,0,0
9628,9628,0,0
9629,9629,0,0
9630,9630,0,0
9631,9631,0,0
9632,9632,0,0
9633,9633,0,0
9634,9634,0,0
9635,9635,0,0
9636,9636,0,0
9637,9637,0,0
9638,9638,0,0
9639,9639,0,0
9640,9640,0,0
9641,9641,0,0
9642,9642,0,0
9643,9643,0,0
9644,9644,0,0
9645,9645,0,0
9646,9646,0,0
9647,9647,0,0
9648,9648,0,0
9651,9651,0,0
9652,9652,0,0
9653,9653,0,0
9654,9654,0,0
9655,9655,0,0
9656,9656,0,0
9657,9657,0,0
9658,9658,0,0
9659,9659,0,0
9660,9660,0,0
9661,9661,0,0
9662,9662,0,0
9663,9663,0,0
9664,9664,0,0
9665,9665,0,0
9666,9666,0,0
9667,9667,0,0
9668,9668,0,0
9669,9669,0,0
9670,9670,0,0
9671,9671,0,0
9672,9672,0,0
9673,9673,0,0
9674,9674,0,0
9675,9675,0,0
9676,9676,0,0
9677,9677,0,0
9678,9678,0,0
9679,9679,0,0
9681,9681,0,0
9682,9682,0,0
9683,9683,0,0
9687,9687,0,0
9688,9688,0,0
9689,9689,0,0
9690,9690,0,0
9691,9691,0,0
9692,9692,0,0
9693,9693,0,0
32018,32018,0,0
32407,32407,0,0
32408,32408,0,0
32608,32608,0,0
32660,32660,0,0
32661,32661,0,0
32662,32662,0,0
32666,32666,0,0
32667,32667,0,0
32695,32695,0,0
32696,32696,0,0
32697,32697,0,0
32698,32698,0,0
32699,32699,0,0
32700,32700,0,0
32701,32701,0,0
32702,32702,0,0
32703,32703,0,0
32704,32704,0,0
32705,32705,0,0
32706,32706,0,0
32707,32707,0,0
32708,32708,0,0
32709,32709,0,0
32710,32710,0,0
32738,32738,0,0
32739,32739,0,0
32912,32912,0,0
32959,32959,0,0
32960,32960,0,0
32961,32961,0,0
32962,32962,0,0
32963,32963,0,0
32964,32964,0,0
32965,32965,0,0
32995,32995,0,0
32996,32996,0,0
33013,33013,0,0
33014,33014,0,0
33049,33049,0,0
33050,33050,0,0
586323,586323,0,0
705179,705179,0,0
710189,710189,0,0
710190,710190,0,0
710191,710191,0,0
710192,710192,0,0
710193,710193,0,0
710194,710194,0,0
710195,710195,0,0
710196,710196,0,0
710197,710197,0,0
710198,710198,0,0
710199,710199,0,0
710200,710200,0,0
710201,710201,0,0
710202,710202,0,0
710203,710203,0,0
710204,710204,0,0
710205,710205,0,0
710206,710206,0,0
710207,710207,0,0
710208,710208,0,0
710209,710209,0,0
710210,710210,0,0
710211,710211,0,0
710212,710212,0,0
710213,710213,0,0
710214,710214,0,0
710215,710215,0,0
710216,710216,0,0
710217,710217,0,0
710218,710218,0,0
710219,710219,0,0
710220,710220,0,0
710221,710221,0,0
710222,710222,0,0
710223,710223,0,0
710224,710224,0,0
710225,710225,0,0
710226,710226,0,0
710227,710227,0,0
710228,710228,0,0
710229,710229,0,0
710230,710230,0,0
710231,710231,0,0
710232,710232,0,0
710233,710233,0,0
710234,710234,0,0
710235,710235,0,0
710236,710236,0,0
710237,710237,0,0
710238,710238,0,0
710239,710239,0,0
710240,710240,0,0
710241,710241,0,0
710242,710242,0,0
710243,710243,0,0
710244,710244,0,0
710245,710245,0,0
710246,710246,0,0
710247,710247,0,0
710248,710248,0,0
710249,710249,0,0
710250,710250,0,0
710251,710251,0,0
710252,710252,0,0
710253,710253,0,0
710254,710254,0,0
710255,710255,0,0
710256,710256,0,0
710257,710257,0,0
710258,710258,0,0
710259,710259,0,0
710260,710260,0,0
710261,710261,0,0
720839,720839,0,0
720840,720840,0,0
720841,720841,0,0
720842,720842,0,0
720843,720843,0,0
720844,720844,0,0
720845,720845,0,0
720846,720846,0,0
720847,720847,0,0
720848,720848,0,0
720849,720849,0,0
720850,720850,0,0
720851,720851,0,0
720852,720852,0,0
720853,720853,0,0
720854,720854,0,0
720855,720855,0,0
720856,720856,0,0
720857,720857,0,0
720858,720858,0,0
720859,720859,0,0
720860,720860,0,0
720861,720861,0,0
720862,720862,0,0
720863,720863,0,0
720864,720864,0,0
720865,720865,0,0
720866,720866,0,0
720867,720867,0,0
720868,720868,0,0
720869,720869,0,0
720870,720870,0,0
720871,720871,0,0
38003563,38003563,0,0
38003564,38003564,0,0
38003572,38003572,0,0
38003573,38003573,0,0
38003574,38003574,0,0
38003575,38003575,0,0
38003576,38003576,0,0
38003577,38003577,0,0
38003578,38003578,0,0
38003579,38003579,0,0
38003580,38003580,0,0
38003581,38003581,0,0
38003582,38003582,0,0
38003583,38003583,0,0
38003584,38003584,0,0
38003585,38003585,0,0
38003586,38003586,0,0
38003587,38003587,0,0
38003588,38003588,0,0
38003589,38003589,0,0
38003590,38003590,0,0
38003591,38003591,0,0
38003592,38003592,0,0
38003593,38003593,0,0
38003594,38003594,0,0
38003595,38003595,0,0
38003596,38003596,0,0
38003597,38003597,0,0
38003598,38003598,0,0
38003599,38003599,0,0
38003600,38003600,0,0
38003601,38003601,0,0
38003602,38003602,0,0
38003603,38003603,0,0
38003604,38003604,0,0
38003605,38003605,0,0
38003606,38003606,0,0
38003607,38003607,0,0
38003608,38003608,0,0
38003609,38003609,0,0
38003610,38003610,0,0
38003611,38003611,0,0
38003612,38003612,0,0
38003613,38003613,0,0
38003614,38003614,0,0
38003615,38003615,0,0
38003616,38003616,0,0
44777519,44777519,0,0
44777520,44777520,0,0
44777521,44777521,0,0
44777522,44777522,0,0
44777523,44777523,0,0
44777524,44777524,0,0
44777525,44777525,0,0
44777526,44777526,0,0
44777527,44777527,0,0
44777528,44777528,0,0
44777529,44777529,0,0
44777530,44777530,0,0
44777531,44777531,0,0
44777532,44777532,0,0
44777533,44777533,0,0
44777534,44777534,0,0
44777535,44777535,0,0
44777536,44777536,0,0
44777537,44777537,0,0
44777538,44777538,0,0
44777539,44777539,0,0
44777540,44777540,0,0
44777541,44777541,0,0
44777542,44777542,0,0
44777543,44777543,0,0
44777544,44777544,0,0
44777545,44777545,0,0
44777546,44777546,0,0
44777547,44777547,0,0
44777549,44777549,0,0
44777550,44777550,0,0
44777551,44777551,0,0
44777552,44777552,0,0
44777553,44777553,0,0
44777554,44777554,0,0
44777555,44777555,0,0
44777556,44777556,0,0
44777557,44777557,0,0
44777558,44777558,0,0
44777559,44777559,0,0
44777560,44777560,0,0
44777561,44777561,0,0
44777562,44777562,0,0
44777563,44777563,0,0
44777564,44777564,0,0
44777565,44777565,0,0
44777566,44777566,0,0
44777567,44777567,0,0
44777568,44777568,0,0
44777569,44777569,0,0
44777570,44777570,0,0
44777571,44777571,0,0
44777572,44777572,0,0
44777573,44777573,0,0
44777574,44777574,0,0
44777575,44777575,0,0
44777576,44777576,0,0
44777577,44777577,0,0
44777578,44777578,0,0
44777579,44777579,0,0
44777580,44777580,0,0
44777581,44777581,0,0
44777582,44777582,0,0
