drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason
1125443,1125443,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1129625,1129625,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1154029,1154029,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1154343,1154343,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1309944,1309944,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1396131,1396131,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1503184,1503184,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1515774,1515774,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1549786,1549786,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1717327,1717327,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
19059528,19059528,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
19127890,19127890,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
40228230,1149196,5,8576,NA,NA,NA,NA,NA,NA,NA,NA
19007333,1305058,10,8576,NA,NA,NA,NA,NA,NA,NA,NA
782047,782043,NA,NA,999,8576,NA,8587,NA,NA,NA,NA
19133873,1729720,250,8576,NA,NA,NA,NA,NA,NA,NA,NA
40173590,1557272,10,8576,NA,NA,NA,NA,NA,NA,NA,NA
43012433,1519936,NA,NA,2.52,8576,504,8505,NA,NA,NA,NA
43012433,1549786,NA,NA,0.315,8576,504,8505,NA,NA,NA,NA
40220386,753626,NA,NA,1000,8576,100,8587,NA,NA,NA,NA
1110410,1110410,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1112807,1112807,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1149196,1149196,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1177480,1177480,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1367571,1367571,NA,8510,NA,NA,NA,NA,NA,NA,NA,NA
1768849,1768849,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
708298,708298,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
715997,715997,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
738818,738818,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
40228214,1149196,10,8576,NA,NA,NA,NA,NA,NA,NA,NA
46233710,1738521,100,8576,NA,NA,NA,NA,NA,NA,NA,NA
1545959,1545958,80,8576,NA,NA,NA,NA,NA,NA,NA,NA
19073188,1713332,500,8576,NA,NA,NA,NA,NA,NA,NA,NA
19074679,740275,NA,NA,20,8576,NA,8587,NA,NA,NA,NA
19112599,1192710,NA,NA,2,8576,NA,8587,NA,NA,NA,NA
1713671,1759842,125,8576,NA,NA,NA,NA,NA,NA,NA,NA
1713671,1713332,250,8576,NA,NA,NA,NA,NA,NA,NA,NA
19074841,1768849,NA,NA,500,8576,12,8505,NA,NA,NA,NA
40224132,1500211,NA,NA,104,8576,0.65,8587,NA,NA,NA,NA
40243436,914335,NA,NA,1,8576,1,8587,NA,NA,NA,NA
35605858,1110410,NA,NA,5,8576,1,8587,NA,NA,NA,NA
920293,920293,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
967823,967823,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1192710,1192710,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1310149,1310149,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1518198,1518198,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1539403,1539403,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1548195,1548195,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1729720,1729720,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
1741122,1741122,NA,8576,NA,NA,NA,NA,NA,NA,NA,NA
